Request_ID,User_Text,Detected_Product,Detected_Category,Timestamp
REQ-000001,"Need some spare parts, unknown model.",,,11/11/2025 8:13
REQ-000002,"Need some spare parts, unknown model.",,,7/11/2025 14:31
REQ-000003,I need 1 szt. of Helly Hansen Workwear Model 122 for production.,Helly Hansen Workwear Model 122,BHP,8/6/2025 11:14
REQ-000004,Potrzebuję 2 szt. IKEA Office chairs 451 do linii produkcyjnej.,IKEA Office chairs 451,Office,2/27/2025 10:16
REQ-000005,"Potrzebujemy materiały biurowe, nie wiem dokładnie jakie.",,,7/11/2025 8:39
REQ-000006,I need 100 szt. of Siemens Motors 957 for production.,Siemens Motors 957,Production,2/13/2025 8:42
REQ-000007,I need 100 szt. of Nowy Styl Office chairs Model 858 for production.,Nowy Styl Office chairs Model 858,Office,7/28/2025 22:39
REQ-000008,Potrzebuję 1 szt. NTN Bearings Model 625 do linii produkcyjnej.,NTN Bearings Model 625,Automotive,4/14/2025 3:25
REQ-000009,Potrzebuję 2 szt. Xerox Toner Model 540 do linii produkcyjnej.,Xerox Toner Model 540,Office,12/29/2024 13:09
REQ-000010,Potrzebuję 5 szt. Milwaukee Tools Model 960 do linii produkcyjnej.,Milwaukee Tools Model 960,Production,12/30/2024 2:16
REQ-000011,Potrzebuję 20 para Ansell Gloves Rękawice 979 do linii produkcyjnej.,Ansell Gloves Rękawice 979,BHP,9/17/2025 4:34
REQ-000012,Potrzebuję 1 szt. Dell Monitors 692 do linii produkcyjnej.,Dell Monitors 692,IT,1/5/2025 15:40
REQ-000013,Potrzebuję 5 szt. 3M Safety glasses 288 do linii produkcyjnej.,3M Safety glasses 288,BHP,7/25/2025 6:08
REQ-000014,Potrzebuję 50 szt. HP Printers 417 do linii produkcyjnej.,HP Printers 417,IT,5/23/2025 8:37
REQ-000015,I need 100 szt. of HP Laptops Model 298 for production.,HP Laptops Model 298,IT,4/1/2025 5:20
REQ-000016,I need 20 szt. of Brother Printers 174 for production.,Brother Printers 174,IT,8/30/2025 2:34
REQ-000017,Potrzebuję 20 szt. Mahle Filters Model 612 do linii produkcyjnej.,Mahle Filters Model 612,Automotive,12/27/2024 16:06
REQ-000018,Potrzebuję 10 szt. Stabilo Pens Model 371 do linii produkcyjnej.,Stabilo Pens Model 371,Office,2/15/2025 16:50
REQ-000019,Potrzebuję 10 szt. NTN Bearings 355 do linii produkcyjnej.,NTN Bearings 355,Automotive,3/28/2025 6:50
REQ-000020,I need 1 szt. of 3M Helmets 818 for production.,3M Helmets 818,BHP,10/9/2025 3:05
REQ-000021,Potrzebuję 200 szt. Sachs Engine parts Model 290 do linii produkcyjnej.,Sachs Engine parts Model 290,Automotive,2/12/2025 17:02
REQ-000022,Potrzebuję 5 szt. IKEA Office chairs 642 do linii produkcyjnej.,IKEA Office chairs 642,Office,5/29/2025 8:05
REQ-000023,Potrzebuję 50 szt. ABB Motors Model 536 do linii produkcyjnej.,ABB Motors Model 536,Production,3/19/2025 9:54
REQ-000024,I need 2 szt. of Xerox Toner 389 for production.,Xerox Toner 389,Office,1/3/2025 17:57
REQ-000025,I need 5 szt. of Brother Printers 174 for production.,Brother Printers 174,IT,10/13/2025 15:59
REQ-000026,I need 100 szt. of Bosch Engine parts 699 for production.,Bosch Engine parts 699,Automotive,8/26/2025 9:49
REQ-000027,Potrzebuję 50 szt. Wurth Screws Model 983 do linii produkcyjnej.,Wurth Screws Model 983,Production,3/18/2025 0:14
REQ-000028,I need 2 szt. of Asus Laptops 814 for production.,Asus Laptops 814,IT,1/17/2025 2:47
REQ-000029,Potrzebuję 5 para Ansell Gloves Rękawice 979 do linii produkcyjnej.,Ansell Gloves Rękawice 979,BHP,11/16/2024 2:10
REQ-000030,"Need some spare parts, unknown model.",,,2/13/2025 23:24
REQ-000031,I need 5 szt. of BIC Pens Model 395 for production.,BIC Pens Model 395,Office,4/24/2025 16:14
